f,ur,v/vm,u(i/im),f/f0,u(f/f0),pi x,u(pi x),fi theo,u(pi theo)
540,0.4,0.1,0.00025125,0.10714,1.14E-06,1.4706,0.00025251,-1.5363,3.42E-06
1740,0.8,0.2,0.00025495,0.34524,2.01E-06,1.3694,0.00026021,-1.4465,1.22E-05
2740,1.24,0.31,0.0026174,0.54365,2.92E-06,1.2556,0.002753,-1.3296,2.29E-05
3340,1.64,0.41,0.002702,0.6627,3.49E-06,1.1483,0.0029624,-1.2108,3.26E-05
3640,1.96,0.49,0.002784,0.72222,3.77E-06,1.0587,0.0031937,-1.1227,3.86E-05
3940,2.4,0.6,0.0029155,0.78175,4.06E-06,0.9273,0.0036443,-1.0017,4.49E-05
4140,2.72,0.68,0.0030232,0.82143,4.26E-06,0.82303,0.0041233,-0.89408,4.83E-05
4340,3.04,0.76,0.0031401,0.86111,4.45E-06,0.70748,0.0048314,-0.75697,4.94E-05
4540,3.44,0.86,0.0032973,0.90079,4.65E-06,0.53553,0.0064617,-0.58333,4.55E-05
4740,3.76,0.94,0.0034311,0.94048,4.84E-06,0.34817,0.010057,-0.37074,3.34E-05
5040,4,1,0.0035355,1,5.14E-06,0,Inf,-0.0037519,1.30E-06
5340,3.76,0.94,0.0034311,1.0595,5.43E-06,0.34817,0.010057,0.34459,3.15E-05
5440,3.56,0.89,0.0033467,1.0794,5.53E-06,0.47345,0.00734,0.44384,3.84E-05
5740,3.16,0.79,0.003186,1.1389,5.83E-06,0.65999,0.0051965,0.6831,4.84E-05
6040,2.72,0.68,0.0030232,1.1984,6.12E-06,0.82303,0.0041233,0.84944,4.91E-05
6340,2.4,0.6,0.0029155,1.2579,6.42E-06,0.9273,0.0036443,0.96619,4.63E-05
6840,1.96,0.49,0.002784,1.3571,6.91E-06,1.0587,0.0031937,1.0949,4.03E-05
7640,1.64,0.41,0.002702,1.5159,7.71E-06,1.1483,0.0029624,1.2136,3.24E-05
9040,1.24,0.31,0.0026174,1.7937,9.10E-06,1.2556,0.002753,1.3179,2.40E-05
13340,0.8,0.2,0.00025495,2.6468,1.34E-05,1.3694,0.00026021,1.431,1.37E-05
20940,0.56,0.14,0.00025244,4.1548,2.10E-05,1.4303,0.00025495,1.4894,8.02E-06
